date,pet tech,veterinary telehealth,dog health app,pet wellness,dog breeding business
2026-03-03,36,0,58,45,0
2026-03-04,28,0,59,28,0
2026-03-05,27,0,51,44,0
2026-03-06,22,0,36,37,0
2026-03-07,14,0,51,39,0
2026-03-08,20,0,52,43,0
2026-03-09,20,0,41,47,0
2026-03-10,20,0,58,42,0
2026-03-11,13,0,27,33,0
2026-03-12,22,0,42,43,0
2026-03-13,18,0,36,41,0
2026-03-14,19,0,40,31,0
2026-03-15,22,0,49,28,0
2026-03-16,24,0,0,35,0
2026-03-17,23,0,50,37,0
2026-03-18,27,0,41,59,0
2026-03-19,27,0,41,43,0
2026-03-20,34,0,64,43,0
2026-03-21,34,0,52,40,0
2026-03-22,37,0,51,34,0
2026-03-23,34,0,30,48,0
2026-03-24,36,100,27,58,0
2026-03-25,28,0,65,42,0
2026-03-26,48,0,37,50,0
2026-03-27,42,0,44,53,0
2026-03-28,52,0,47,46,0
2026-03-29,68,0,81,49,0
2026-03-30,51,0,38,52,0
2026-03-31,63,0,71,57,0
2026-04-01,73,0,25,70,0
2026-04-02,69,0,53,68,0
2026-04-03,68,0,57,76,0
2026-04-04,81,0,67,55,0
2026-04-05,70,0,48,56,0
2026-04-06,73,0,59,63,0
2026-04-07,83,0,54,81,0
2026-04-08,73,0,58,72,0
2026-04-09,81,0,46,71,0
2026-04-10,94,0,67,77,0
2026-04-11,96,0,80,64,0
2026-04-12,96,0,61,87,0
2026-04-13,79,0,65,87,0
2026-04-14,83,0,64,72,0
2026-04-15,82,0,43,84,0
2026-04-16,88,0,63,72,0
2026-04-17,96,0,86,89,0
2026-04-18,100,0,76,92,0
2026-04-19,83,0,52,72,0
2026-04-20,80,0,56,73,0
2026-04-21,69,0,55,68,0
2026-04-22,79,97,68,63,0
2026-04-23,59,0,61,65,0
2026-04-24,59,0,60,53,0
2026-04-25,59,0,37,56,0
2026-04-26,68,0,63,49,0
2026-04-27,53,0,46,68,0
2026-04-28,50,0,38,60,0
2026-04-29,51,0,66,59,0
2026-04-30,60,0,23,64,0
2026-05-01,55,0,35,54,0
2026-05-02,57,0,39,64,0
2026-05-03,51,0,51,56,0
2026-05-04,52,0,47,47,0
2026-05-05,43,0,58,60,0
2026-05-06,71,0,67,71,0
2026-05-07,74,0,64,80,0
2026-05-08,75,0,61,72,0
2026-05-09,70,0,62,71,0
2026-05-10,85,0,65,62,0
2026-05-11,57,0,48,68,0
2026-05-12,51,0,48,66,0
2026-05-13,85,0,100,86,0
2026-05-14,92,0,89,86,0
2026-05-15,86,0,40,100,0
2026-05-16,72,0,54,71,0
2026-05-17,68,0,80,80,0
2026-05-18,58,0,40,69,0
2026-05-19,64,0,51,70,0
2026-05-20,14,8,8,33,0
2026-05-21,15,13,10,33,0
2026-05-22,17,9,11,36,0
2026-05-23,16,12,14,30,0
2026-05-24,15,11,12,28,0
2026-05-25,16,14,12,31,0
2026-05-26,15,9,11,36,75
2026-05-27,15,9,8,38,0
2026-05-28,14,12,11,35,0
2026-05-29,15,9,9,36,0
2026-05-30,15,0,11,31,0
2026-05-31,16,17,13,31,100
2026-06-01,13,11,10,41,62
2026-06-02,11,0,7,33,0
2026-06-03,13,0,10,39,0
